##Command-line: '/net/langmead-bigmem-ib.bluecrab.cluster/storage/dnb/code2/fgc/code/fastkzclustexp -c32 -c64 -c128 -c256 -c512 -c1024 -c2048 -c4096 -c8192 -c16384 -c32768 -c65536 -k5 -M200000000000 ../data/line.dimacs.gr'
##z: 1
##nsamples: 1000
##k: 5
#label	coreset_size	mincost	meancost	maxcost
fullproblem	500	16188	21728.9	28806.7
coreset	32	13398.1	18318.6	27631.6
coreset	64	17246.7	20879.5	29547.3
coreset	128	14958.1	22608.5	32219
coreset	256	16766.1	22314.8	33798
coreset	512	16199.5	22764	38241.8
coreset	1024	16869.4	23494.7	34368
coreset	2048	16984.6	23176.1	31585.6
coreset	4096	17080.3	23116.9	32631.9
coreset	8192	16910	22804.5	30661.8
coreset	16384	17408.2	22905.8	31011.4
coreset	32768	17454.1	22846.1	30253.7
coreset	65536	16795.8	22967.1	31404.5
